galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,uJAVA,error_uJAVA,gSDSS,error_gSDSS,rSDSS,error_rSDSS,iSDSS,error_iSDSS,zSDSS,error_zSDSS,redshift
1,4.9016E-40,4.966E-42,7.3306E-40,7.427E-42,1.0279E-39,6.627E-42,1.3463E-39,7.44E-42,5.9039E-39,2.7188E-41,2.7261E-38,1.0043E-40,8.5573E-38,1.5763E-40,2.5771E-40,1.662E-42,3.6003E-39,6.632E-42,2.1259E-38,1.958E-41,5.2618E-38,4.8464E-41,1.0156E-37,9.3544E-41,0.021
2,1.1049E-39,4.8846E-41,1.4339E-39,7.9239E-41,1.8643E-39,6.8683E-41,2.2852E-39,8.2084E-41,1.004E-38,2.3117E-40,3.3214E-38,8.8713E-40,8.1831E-38,1.3566E-39,6.9842E-40,1.9942E-41,6.0942E-39,6.1743E-41,2.6848E-38,2.2255E-40,5.6249E-38,4.6627E-40,9.6231E-38,7.9769E-40,0.021
3,5.1872E-41,1.816E-42,7.0233E-41,2.717E-42,9.2074E-41,2.204E-42,1.1861E-40,2.95E-42,5.9393E-40,8.753E-42,2.3128E-39,3.6212E-41,7.167E-39,6.6011E-41,3.0488E-41,7.02E-43,3.3833E-40,2.182E-42,1.8003E-39,8.29E-42,4.4436E-39,2.0463E-41,8.5141E-39,3.1367E-41,0.021
4,3.0114E-40,8.32E-43,3.9261E-40,1.446E-42,5.0953E-40,1.408E-42,6.3733E-40,1.761E-42,2.7237E-39,5.017E-42,8.9037E-39,1.6401E-41,2.4478E-38,2.2544E-41,1.9229E-40,3.55E-43,1.6247E-39,1.497E-42,7.1774E-39,6.611E-42,1.5804E-38,1.4557E-41,2.839E-38,2.6148E-41,0.021
5,2.4494E-40,6.994E-42,3.1816E-40,1.0256E-41,4.3117E-40,9.134E-42,5.2608E-40,1.1145E-41,2.418E-39,3.3406E-41,7.81E-39,1.2229E-40,2.0523E-38,1.7013E-40,1.5771E-40,3.05E-42,1.403E-39,9.045E-42,6.3132E-39,3.4888E-41,1.3485E-38,6.2101E-41,2.3958E-38,1.1033E-40,0.021
6,2.7583E-40,2.287E-42,3.7037E-40,3.07E-42,4.9595E-40,2.741E-42,6.3655E-40,3.517E-42,2.7966E-39,1.0304E-41,1.0042E-38,4.6247E-41,2.7863E-38,5.1327E-41,1.6544E-40,9.14E-43,1.6728E-39,5.1327E-41,7.999E-39,7.368E-42,1.8007E-38,1.6584E-41,3.2616E-38,3.0041E-41,0.021
7,6.0455E-40,3.6193E-41,9.7416E-40,5.473E-41,1.2806E-39,5.0719E-41,1.6392E-39,5.5861E-41,6.827E-39,1.7606E-40,2.8381E-38,7.0578E-40,7.5898E-38,1.1884E-39,3.2376E-40,1.3419E-41,4.061E-39,4.8624E-41,2.1549E-38,1.7863E-40,4.9869E-38,3.6745E-40,9.0998E-38,7.5431E-40,0.021
8,1.422E-40,4.977E-42,2.2208E-40,7.773E-42,2.7932E-40,6.946E-42,3.3986E-40,8.765E-42,1.6584E-39,2.5967E-41,6.9072E-39,1.0179E-40,2.0347E-38,2.0614E-40,8.4665E-41,1.949E-42,9.9839E-40,7.357E-42,5.4463E-39,3.0097E-41,1.3186E-38,6.0722E-41,2.435E-38,1.1214E-40,0.021
9,2.6535E-41,1.271E-42,4.5647E-41,2.018E-42,6.0676E-41,2.179E-42,8.0653E-41,2.6E-42,4.5816E-40,8.862E-42,2.6584E-39,3.9176E-41,1.0333E-38,8.5653E-41,1.4716E-41,5.42E-43,2.6584E-40,2.448E-42,2.0092E-39,1.1104E-41,5.859E-39,2.1586E-41,1.3105E-38,4.8279E-41,0.021
10,3.9323E-40,9.417E-42,4.9368E-40,1.4096E-41,6.238E-40,1.264E-41,7.8459E-40,1.5898E-41,3.2707E-39,4.2175E-41,9.5377E-39,1.4934E-40,2.2816E-38,2.5217E-40,2.5506E-40,3.994E-42,1.9581E-39,1.0821E-41,7.717E-39,3.5538E-41,1.5497E-38,7.1365E-41,2.6245E-38,1.2086E-40,0.021
11,9.6576E-40,7.116E-42,1.3356E-39,1.1072E-41,1.7769E-39,9.82E-42,2.2976E-39,1.2697E-41,9.49E-39,3.4962E-41,3.3486E-38,1.2337E-40,8.9468E-38,1.6481E-40,5.7447E-40,2.646E-42,5.7394E-39,1.0573E-41,2.6747E-38,2.4635E-41,5.8785E-38,5.4143E-41,1.0358E-37,2.646E-42,0.021
12,5.089E-41,4.266E-42,8.9172E-41,6.735E-42,1.0144E-40,6.073E-42,1.5005E-40,8.154E-42,8.4144E-40,2.5575E-41,4.6497E-39,1.2419E-40,1.8699E-38,2.4112E-40,2.6682E-41,1.5E-42,4.9411E-40,6.827E-42,3.5961E-39,2.9808E-41,1.0477E-38,8.6845E-41,2.3218E-38,1.2831E-40,0.021
13,4.208E-41,8.91E-43,6.5959E-41,1.337E-42,9.3342E-41,1.462E-42,1.1992E-40,1.546E-42,6.1049E-40,5.623E-42,3.0767E-39,2.5504E-41,9.6312E-39,4.4352E-41,2.0159E-41,3.35E-43,3.6684E-40,4.4352E-41,2.3817E-39,6.58E-42,6.0657E-39,1.676E-41,1.1643E-38,2.1448E-41,0.021
14,1.3478E-40,2.731E-42,1.9321E-40,4.805E-42,2.9002E-40,4.542E-42,3.7812E-40,5.224E-42,1.8777E-39,1.7295E-41,1.0501E-38,7.7374E-41,3.7569E-38,1.3841E-40,6.5408E-41,1.024E-42,1.1242E-39,5.176E-42,7.8855E-39,2.1789E-41,2.1799E-38,6.0232E-41,4.5796E-38,1.024E-42,0.021
