# Filter transmission for J-PLUS filter J0395
# Authors: Jesus Varela (jvarela@cefca.es), Toni Marin (amarin@cefca.es), César Iñiguez (ciniguez@cefca.es)
# Date: 2015-05-19
# wl[A]   T[ccd]    T[ccd+filter+atm]
3800    0.000     0.000 
3801    0.000     0.000 
3802    0.000     0.000 
3803    0.000     0.000 
3804    0.000     0.000 
3805    0.000     0.000 
3806    0.000     0.000 
3807    0.000     0.000 
3808    0.000     0.000 
3809    0.000     0.000 
3810    0.000     0.000 
3811    0.000     0.000 
3812    0.000     0.000 
3813    0.000     0.000 
3814    0.000     0.000 
3815    0.000     0.000 
3816    0.000     0.000 
3817    0.000     0.000 
3818    0.000     0.000 
3819    0.000     0.000 
3820    0.000     0.000 
3821    0.000     0.000 
3822    0.000     0.000 
3823    0.000     0.000 
3824    0.000     0.000 
3825    0.000     0.000 
3826    0.000     0.000 
3827    0.000     0.000 
3828    0.000     0.000 
3829    0.000     0.000 
3830    0.000     0.000 
3831    0.000     0.000 
3832    0.000     0.000 
3833    0.000     0.000 
3834    0.000     0.000 
3835    0.000     0.000 
3836    0.000     0.000 
3837    0.000     0.000 
3838    0.000     0.000 
3839    0.000     0.000 
3840    0.000     0.000 
3841    0.000     0.000 
3842    0.000     0.000 
3843    0.000     0.000 
3844    0.000     0.000 
3845    0.000     0.000 
3846    0.000     0.000 
3847    0.000     0.000 
3848    0.000     0.000 
3849    0.000     0.000 
3850    0.000     0.000 
3851    0.000     0.000 
3852    0.000     0.000 
3853    0.001     0.000 
3854    0.001     0.000 
3855    0.001     0.000 
3856    0.001     0.000 
3857    0.001     0.000 
3858    0.001     0.001 
3859    0.001     0.001 
3860    0.001     0.001 
3861    0.001     0.001 
3862    0.002     0.001 
3863    0.002     0.001 
3864    0.002     0.001 
3865    0.003     0.002 
3866    0.003     0.002 
3867    0.004     0.002 
3868    0.005     0.003 
3869    0.006     0.004 
3870    0.008     0.005 
3871    0.010     0.006 
3872    0.012     0.007 
3873    0.016     0.009 
3874    0.020     0.012 
3875    0.026     0.016 
3876    0.033     0.020 
3877    0.042     0.026 
3878    0.054     0.033 
3879    0.070     0.043 
3880    0.090     0.056 
3881    0.114     0.071 
3882    0.145     0.090 
3883    0.183     0.114 
3884    0.230     0.143 
3885    0.282     0.175 
3886    0.339     0.211 
3887    0.401     0.249 
3888    0.466     0.290 
3889    0.533     0.332 
3890    0.594     0.371 
3891    0.646     0.404 
3892    0.690     0.432 
3893    0.727     0.456 
3894    0.758     0.476 
3895    0.782     0.492 
3896    0.799     0.503 
3897    0.812     0.511 
3898    0.820     0.517 
3899    0.827     0.522 
3900    0.831     0.526 
3901    0.833     0.527 
3902    0.836     0.529 
3903    0.838     0.531 
3904    0.840     0.533 
3905    0.842     0.534 
3906    0.842     0.535 
3907    0.845     0.537 
3908    0.845     0.538 
3909    0.845     0.538 
3910    0.844     0.538 
3911    0.846     0.539 
3912    0.847     0.540 
3913    0.847     0.541 
3914    0.847     0.542 
3915    0.848     0.542 
3916    0.848     0.543 
3917    0.848     0.544 
3918    0.847     0.543 
3919    0.846     0.544 
3920    0.847     0.544 
3921    0.849     0.546 
3922    0.852     0.548 
3923    0.853     0.549 
3924    0.852     0.549 
3925    0.851     0.549 
3926    0.853     0.551 
3927    0.853     0.551 
3928    0.854     0.553 
3929    0.854     0.553 
3930    0.854     0.553 
3931    0.854     0.554 
3932    0.855     0.555 
3933    0.854     0.555 
3934    0.854     0.555 
3935    0.855     0.556 
3936    0.857     0.558 
3937    0.856     0.558 
3938    0.856     0.559 
3939    0.856     0.559 
3940    0.857     0.560 
3941    0.858     0.561 
3942    0.857     0.561 
3943    0.860     0.563 
3944    0.861     0.565 
3945    0.861     0.565 
3946    0.862     0.566 
3947    0.863     0.567 
3948    0.862     0.567 
3949    0.864     0.569 
3950    0.865     0.570 
3951    0.865     0.570 
3952    0.865     0.571 
3953    0.867     0.573 
3954    0.868     0.574 
3955    0.868     0.574 
3956    0.867     0.574 
3957    0.867     0.574 
3958    0.867     0.575 
3959    0.869     0.577 
