# Filter transmission for J-PLUS filter J0430
# Authors: Jesus Varela (jvarela@cefca.es), Toni Marin (amarin@cefca.es), César Iñiguez (ciniguez@cefca.es)
# Date: 2015-05-19
# wl[A]   T[ccd]    T[ccd+filter+atm]
4100    0.000     0.000 
4101    0.000     0.000 
4102    0.000     0.000 
4103    0.000     0.000 
4104    0.000     0.000 
4105    0.000     0.000 
4106    0.000     0.000 
4107    0.000     0.000 
4108    0.000     0.000 
4109    0.000     0.000 
4110    0.000     0.000 
4111    0.000     0.000 
4112    0.000     0.000 
4113    0.000     0.000 
4114    0.000     0.000 
4115    0.000     0.000 
4116    0.000     0.000 
4117    0.000     0.000 
4118    0.000     0.000 
4119    0.000     0.000 
4120    0.000     0.000 
4121    0.000     0.000 
4122    0.000     0.000 
4123    0.000     0.000 
4124    0.000     0.000 
4125    0.000     0.000 
4126    0.000     0.000 
4127    0.000     0.000 
4128    0.000     0.000 
4129    0.000     0.000 
4130    0.000     0.000 
4131    0.000     0.000 
4132    0.000     0.000 
4133    0.000     0.000 
4134    0.000     0.000 
4135    0.001     0.000 
4136    0.001     0.000 
4137    0.001     0.000 
4138    0.001     0.000 
4139    0.001     0.001 
4140    0.001     0.001 
4141    0.001     0.001 
4142    0.001     0.001 
4143    0.001     0.001 
4144    0.001     0.001 
4145    0.001     0.001 
4146    0.001     0.001 
4147    0.001     0.001 
4148    0.001     0.001 
4149    0.002     0.001 
4150    0.002     0.001 
4151    0.002     0.001 
4152    0.002     0.002 
4153    0.002     0.002 
4154    0.002     0.002 
4155    0.003     0.002 
4156    0.003     0.002 
4157    0.003     0.002 
4158    0.003     0.003 
4159    0.004     0.003 
4160    0.004     0.003 
4161    0.005     0.003 
4162    0.005     0.004 
4163    0.006     0.004 
4164    0.006     0.005 
4165    0.007     0.005 
4166    0.008     0.006 
4167    0.009     0.006 
4168    0.010     0.007 
4169    0.011     0.008 
4170    0.012     0.009 
4171    0.013     0.010 
4172    0.015     0.011 
4173    0.016     0.012 
4174    0.018     0.014 
4175    0.020     0.015 
4176    0.023     0.017 
4177    0.026     0.019 
4178    0.029     0.022 
4179    0.033     0.025 
4180    0.037     0.028 
4181    0.042     0.031 
4182    0.048     0.036 
4183    0.054     0.040 
4184    0.061     0.046 
4185    0.070     0.052 
4186    0.079     0.059 
4187    0.090     0.068 
4188    0.103     0.077 
4189    0.117     0.087 
4190    0.132     0.099 
4191    0.150     0.112 
4192    0.171     0.128 
4193    0.193     0.145 
4194    0.218     0.163 
4195    0.246     0.184 
4196    0.277     0.207 
4197    0.311     0.233 
4198    0.346     0.260 
4199    0.384     0.288 
4200    0.423     0.317 
4201    0.465     0.348 
4202    0.507     0.380 
4203    0.547     0.410 
4204    0.586     0.440 
4205    0.623     0.468 
4206    0.658     0.494 
4207    0.694     0.521 
4208    0.725     0.544 
4209    0.753     0.566 
4210    0.775     0.583 
4211    0.794     0.597 
4212    0.813     0.612 
4213    0.830     0.624 
4214    0.842     0.634 
4215    0.852     0.641 
4216    0.861     0.648 
4217    0.868     0.653 
4218    0.873     0.657 
4219    0.875     0.659 
4220    0.877     0.661 
4221    0.879     0.663 
4222    0.882     0.665 
4223    0.885     0.667 
4224    0.886     0.668 
4225    0.888     0.669 
4226    0.889     0.670 
4227    0.888     0.670 
4228    0.889     0.671 
4229    0.890     0.672 
4230    0.890     0.672 
4231    0.890     0.672 
4232    0.891     0.673 
4233    0.893     0.675 
4234    0.894     0.675 
4235    0.894     0.676 
4236    0.894     0.676 
4237    0.895     0.676 
4238    0.893     0.676 
4239    0.894     0.676 
4240    0.894     0.677 
4241    0.895     0.678 
4242    0.895     0.678 
4243    0.895     0.677 
4244    0.895     0.678 
4245    0.895     0.678 
4246    0.895     0.678 
4247    0.897     0.679 
4248    0.898     0.680 
4249    0.898     0.680 
4250    0.897     0.680 
4251    0.898     0.681 
4252    0.898     0.681 
4253    0.898     0.681 
4254    0.898     0.681 
4255    0.897     0.681 
4256    0.898     0.682 
4257    0.899     0.683 
4258    0.900     0.683 
4259    0.899     0.683 
4260    0.899     0.683 
4261    0.900     0.684 
4262    0.901     0.685 
4263    0.901     0.685 
4264    0.901     0.685 
4265    0.901     0.685 
4266    0.902     0.686 
4267    0.903     0.687 
4268    0.902     0.687 
4269    0.902     0.686 
4270    0.902     0.687 
4271    0.902     0.687 
4272    0.902     0.687 
4273    0.901     0.687 
4274    0.901     0.686 
4275    0.902     0.687 
4276    0.902     0.687 
4277    0.900     0.686 
4278    0.900     0.686 
4279    0.903     0.688 
4280    0.903     0.689 
4281    0.902     0.688 
4282    0.902     0.688 
4283    0.903     0.689 
4284    0.902     0.689 
4285    0.902     0.688 
4286    0.903     0.689 
4287    0.903     0.690 
4288    0.904     0.691 
4289    0.905     0.692 
4290    0.904     0.691 
4291    0.902     0.690 
4292    0.900     0.688 
4293    0.901     0.689 
4294    0.904     0.691 
4295    0.901     0.689 
4296    0.900     0.689 
4297    0.900     0.689 
4298    0.901     0.690 
4299    0.902     0.691 
4300    0.901     0.690 
4301    0.901     0.690 
4302    0.901     0.690 
4303    0.900     0.690 
4304    0.900     0.690 
4305    0.899     0.689 
4306    0.898     0.689 
4307    0.897     0.688 
4308    0.897     0.688 
4309    0.897     0.688 
4310    0.896     0.688 
4311    0.897     0.688 
4312    0.897     0.688 
4313    0.896     0.688 
4314    0.896     0.688 
4315    0.897     0.689 
4316    0.896     0.688 
4317    0.895     0.688 
4318    0.896     0.688 
4319    0.896     0.688 
4320    0.895     0.688 
4321    0.895     0.688 
4322    0.895     0.688 
4323    0.895     0.688 
4324    0.896     0.689 
4325    0.896     0.689 
4326    0.896     0.689 
4327    0.897     0.690 
4328    0.899     0.692 
4329    0.899     0.692 
4330    0.900     0.693 
4331    0.901     0.694 
4332    0.900     0.693 
4333    0.900     0.694 
4334    0.902     0.695 
4335    0.904     0.696 
4336    0.905     0.698 
4337    0.905     0.697 
4338    0.905     0.698 
4339    0.906     0.699 
4340    0.907     0.700 
4341    0.910     0.702 
4342    0.911     0.703 
4343    0.910     0.702 
4344    0.912     0.704 
4345    0.911     0.704 
4346    0.913     0.705 
4347    0.914     0.706 
4348    0.914     0.706 
4349    0.915     0.707 
4350    0.916     0.708 
4351    0.917     0.709 
4352    0.917     0.709 
4353    0.916     0.708 
4354    0.916     0.708 
4355    0.915     0.708 
4356    0.915     0.708 
4357    0.915     0.708 
4358    0.914     0.707 
4359    0.912     0.706 
4360    0.913     0.706 
4361    0.912     0.706 
4362    0.912     0.706 
4363    0.910     0.704 
4364    0.908     0.703 
4365    0.907     0.703 
4366    0.907     0.703 
4367    0.906     0.702 
4368    0.905     0.701 
4369    0.902     0.699 
4370    0.902     0.699 
