# Filter transmission for J-PLUS filter J0515
# Authors: Jesus Varela (jvarela@cefca.es), Toni Marin (amarin@cefca.es), César Iñiguez (ciniguez@cefca.es)
# Date: 2015-05-19
# wl[A]   T[ccd]    T[ccd+filter+atm]
4950    0.000     0.000 
4951    0.000     0.000 
4952    0.000     0.000 
4953    0.000     0.000 
4954    0.000     0.000 
4955    0.000     0.000 
4956    0.000     0.000 
4957    0.000     0.000 
4958    0.000     0.000 
4959    0.000     0.000 
4960    0.000     0.000 
4961    0.000     0.000 
4962    0.000     0.000 
4963    0.000     0.000 
4964    0.000     0.000 
4965    0.000     0.000 
4966    0.000     0.000 
4967    0.000     0.000 
4968    0.000     0.000 
4969    0.000     0.000 
4970    0.000     0.000 
4971    0.000     0.000 
4972    0.000     0.000 
4973    0.000     0.000 
4974    0.000     0.000 
4975    0.000     0.000 
4976    0.000     0.000 
4977    0.000     0.000 
4978    0.000     0.000 
4979    0.000     0.000 
4980    0.000     0.000 
4981    0.000     0.000 
4982    0.000     0.000 
4983    0.000     0.000 
4984    0.000     0.000 
4985    0.000     0.000 
4986    0.000     0.000 
4987    0.000     0.000 
4988    0.000     0.000 
4989    0.000     0.000 
4990    0.000     0.000 
4991    0.000     0.000 
4992    0.000     0.000 
4993    0.001     0.000 
4994    0.001     0.000 
4995    0.001     0.000 
4996    0.001     0.001 
4997    0.001     0.001 
4998    0.001     0.001 
4999    0.001     0.001 
5000    0.001     0.001 
5001    0.001     0.001 
5002    0.001     0.001 
5003    0.001     0.001 
5004    0.002     0.001 
5005    0.002     0.001 
5006    0.002     0.002 
5007    0.002     0.002 
5008    0.003     0.002 
5009    0.003     0.002 
5010    0.003     0.003 
5011    0.004     0.003 
5012    0.005     0.004 
5013    0.005     0.004 
5014    0.006     0.005 
5015    0.007     0.006 
5016    0.009     0.007 
5017    0.010     0.009 
5018    0.012     0.010 
5019    0.015     0.012 
5020    0.018     0.014 
5021    0.021     0.017 
5022    0.026     0.021 
5023    0.031     0.026 
5024    0.038     0.031 
5025    0.047     0.039 
5026    0.058     0.048 
5027    0.071     0.058 
5028    0.087     0.071 
5029    0.107     0.088 
5030    0.132     0.109 
5031    0.161     0.133 
5032    0.196     0.161 
5033    0.236     0.194 
5034    0.283     0.233 
5035    0.338     0.278 
5036    0.397     0.327 
5037    0.460     0.379 
5038    0.523     0.430 
5039    0.586     0.482 
5040    0.650     0.535 
5041    0.706     0.581 
5042    0.757     0.623 
5043    0.797     0.657 
5044    0.830     0.683 
5045    0.854     0.703 
5046    0.870     0.717 
5047    0.880     0.725 
5048    0.885     0.729 
5049    0.887     0.731 
5050    0.888     0.732 
5051    0.889     0.732 
5052    0.887     0.731 
5053    0.884     0.728 
5054    0.883     0.727 
5055    0.881     0.726 
5056    0.881     0.725 
5057    0.880     0.725 
5058    0.882     0.727 
5059    0.884     0.728 
5060    0.884     0.728 
5061    0.883     0.728 
5062    0.884     0.728 
5063    0.885     0.729 
5064    0.885     0.729 
5065    0.885     0.729 
5066    0.886     0.730 
5067    0.885     0.729 
5068    0.885     0.729 
5069    0.885     0.729 
5070    0.885     0.729 
5071    0.884     0.728 
5072    0.883     0.727 
5073    0.883     0.727 
5074    0.882     0.727 
5075    0.881     0.726 
5076    0.880     0.725 
5077    0.879     0.724 
5078    0.879     0.724 
5079    0.879     0.724 
5080    0.879     0.724 
5081    0.877     0.723 
5082    0.877     0.723 
5083    0.877     0.722 
5084    0.877     0.723 
5085    0.877     0.723 
5086    0.878     0.724 
5087    0.879     0.724 
5088    0.880     0.725 
5089    0.881     0.726 
5090    0.882     0.727 
5091    0.884     0.728 
5092    0.885     0.729 
5093    0.886     0.731 
5094    0.887     0.731 
5095    0.888     0.732 
5096    0.890     0.734 
5097    0.892     0.735 
5098    0.893     0.736 
5099    0.893     0.736 
5100    0.896     0.739 
5101    0.897     0.740 
5102    0.898     0.740 
5103    0.899     0.741 
5104    0.900     0.742 
5105    0.901     0.742 
5106    0.901     0.743 
5107    0.902     0.744 
5108    0.904     0.745 
5109    0.905     0.746 
5110    0.905     0.746 
5111    0.906     0.747 
5112    0.906     0.747 
5113    0.906     0.747 
5114    0.905     0.746 
5115    0.905     0.746 
5116    0.906     0.747 
5117    0.907     0.748 
5118    0.910     0.750 
5119    0.910     0.750 
5120    0.910     0.750 
5121    0.910     0.750 
5122    0.909     0.749 
5123    0.910     0.750 
5124    0.910     0.750 
5125    0.909     0.750 
5126    0.910     0.750 
5127    0.910     0.750 
5128    0.910     0.750 
5129    0.910     0.751 
5130    0.911     0.751 
5131    0.912     0.752 
5132    0.911     0.752 
5133    0.911     0.751 
5134    0.911     0.751 
5135    0.911     0.751 
5136    0.909     0.750 
5137    0.909     0.749 
5138    0.909     0.750 
5139    0.909     0.749 
5140    0.907     0.748 
5141    0.907     0.748 
5142    0.905     0.746 
5143    0.905     0.747 
5144    0.904     0.745 
