# Filter transmission for J-PLUS filter J0410
# Authors: Jesus Varela (jvarela@cefca.es), Toni Marin (amarin@cefca.es), César Iñiguez (ciniguez@cefca.es)
# Date: 2015-05-19
# wl[A]   T[ccd]    T[ccd+filter+atm]
3900    0.000     0.000 
3901    0.000     0.000 
3902    0.000     0.000 
3903    0.000     0.000 
3904    0.000     0.000 
3905    0.000     0.000 
3906    0.000     0.000 
3907    0.000     0.000 
3908    0.000     0.000 
3909    0.000     0.000 
3910    0.000     0.000 
3911    0.000     0.000 
3912    0.000     0.000 
3913    0.000     0.000 
3914    0.000     0.000 
3915    0.000     0.000 
3916    0.000     0.000 
3917    0.000     0.000 
3918    0.000     0.000 
3919    0.000     0.000 
3920    0.000     0.000 
3921    0.000     0.000 
3922    0.000     0.000 
3923    0.000     0.000 
3924    0.000     0.000 
3925    0.000     0.000 
3926    0.000     0.000 
3927    0.000     0.000 
3928    0.000     0.000 
3929    0.000     0.000 
3930    0.000     0.000 
3931    0.000     0.000 
3932    0.000     0.000 
3933    0.000     0.000 
3934    0.000     0.000 
3935    0.000     0.000 
3936    0.000     0.000 
3937    0.000     0.000 
3938    0.000     0.000 
3939    0.000     0.000 
3940    0.001     0.000 
3941    0.001     0.000 
3942    0.001     0.000 
3943    0.001     0.000 
3944    0.001     0.000 
3945    0.001     0.000 
3946    0.001     0.000 
3947    0.001     0.001 
3948    0.001     0.001 
3949    0.001     0.001 
3950    0.001     0.001 
3951    0.001     0.001 
3952    0.001     0.001 
3953    0.001     0.001 
3954    0.001     0.001 
3955    0.001     0.001 
3956    0.002     0.001 
3957    0.002     0.001 
3958    0.002     0.001 
3959    0.002     0.001 
3960    0.002     0.001 
3961    0.002     0.002 
3962    0.003     0.002 
3963    0.003     0.002 
3964    0.003     0.002 
3965    0.004     0.002 
3966    0.004     0.003 
3967    0.004     0.003 
3968    0.005     0.003 
3969    0.005     0.004 
3970    0.006     0.004 
3971    0.007     0.004 
3972    0.008     0.005 
3973    0.008     0.006 
3974    0.009     0.006 
3975    0.011     0.007 
