# Filter transmission for J-PLUS filter J0378
# Authors: Jesus Varela (jvarela@cefca.es), Toni Marin (amarin@cefca.es), César Iñiguez (ciniguez@cefca.es)
# Date: 2015-05-19
# wl[A]   T[ccd]    T[ccd+filter+atm]
3600    0.000     0.000 
3601    0.000     0.000 
3602    0.000     0.000 
3603    0.000     0.000 
3604    0.000     0.000 
3605    0.000     0.000 
3606    0.000     0.000 
3607    0.000     0.000 
3608    0.000     0.000 
3609    0.000     0.000 
3610    0.000     0.000 
3611    0.000     0.000 
3612    0.000     0.000 
3613    0.000     0.000 
3614    0.000     0.000 
3615    0.000     0.000 
3616    0.000     0.000 
3617    0.000     0.000 
3618    0.000     0.000 
3619    0.000     0.000 
3620    0.000     0.000 
3621    0.000     0.000 
3622    0.000     0.000 
3623    0.000     0.000 
3624    0.000     0.000 
3625    0.000     0.000 
3626    0.000     0.000 
3627    0.000     0.000 
3628    0.000     0.000 
3629    0.000     0.000 
3630    0.000     0.000 
3631    0.000     0.000 
3632    0.000     0.000 
3633    0.000     0.000 
3634    0.000     0.000 
3635    0.000     0.000 
3636    0.000     0.000 
3637    0.000     0.000 
3638    0.000     0.000 
3639    0.000     0.000 
3640    0.000     0.000 
3641    0.000     0.000 
3642    0.000     0.000 
3643    0.000     0.000 
3644    0.000     0.000 
3645    0.000     0.000 
3646    0.000     0.000 
3647    0.000     0.000 
3648    0.000     0.000 
3649    0.001     0.000 
3650    0.001     0.000 
3651    0.001     0.000 
3652    0.001     0.000 
3653    0.001     0.000 
3654    0.001     0.000 
3655    0.001     0.000 
3656    0.001     0.000 
3657    0.001     0.000 
3658    0.001     0.000 
3659    0.001     0.000 
3660    0.001     0.000 
3661    0.001     0.001 
3662    0.001     0.001 
3663    0.002     0.001 
3664    0.002     0.001 
3665    0.002     0.001 
3666    0.002     0.001 
3667    0.002     0.001 
3668    0.003     0.001 
3669    0.003     0.001 
3670    0.003     0.001 
3671    0.004     0.002 
3672    0.004     0.002 
3673    0.005     0.002 
3674    0.005     0.002 
3675    0.006     0.003 
3676    0.007     0.003 
3677    0.008     0.003 
3678    0.009     0.004 
3679    0.010     0.005 
3680    0.012     0.005 
3681    0.014     0.006 
3682    0.016     0.007 
3683    0.019     0.009 
3684    0.022     0.010 
3685    0.027     0.012 
3686    0.032     0.014 
3687    0.038     0.017 
3688    0.045     0.021 
3689    0.055     0.025 
3690    0.066     0.030 
3691    0.079     0.036 
3692    0.095     0.044 
3693    0.115     0.052 
3694    0.137     0.063 
3695    0.164     0.075 
3696    0.194     0.089 
3697    0.228     0.105 
3698    0.266     0.123 
3699    0.306     0.142 
3700    0.348     0.162 
3701    0.392     0.182 
3702    0.435     0.203 
3703    0.478     0.223 
3704    0.519     0.243 
3705    0.556     0.261 
3706    0.590     0.277 
3707    0.620     0.292 
3708    0.644     0.304 
3709    0.663     0.313 
3710    0.677     0.321 
3711    0.686     0.326 
3712    0.692     0.329 
3713    0.695     0.331 
3714    0.695     0.332 
3715    0.694     0.332 
3716    0.693     0.332 
3717    0.691     0.332 
3718    0.688     0.331 
3719    0.686     0.331 
3720    0.685     0.331 
3721    0.684     0.331 
3722    0.684     0.332 
3723    0.686     0.334 
3724    0.688     0.335 
3725    0.691     0.338 
3726    0.695     0.340 
3727    0.700     0.343 
3728    0.704     0.346 
3729    0.709     0.349 
3730    0.714     0.352 
3731    0.718     0.355 
3732    0.723     0.358 
3733    0.728     0.361 
3734    0.731     0.363 
3735    0.734     0.366 
3736    0.737     0.368 
3737    0.739     0.369 
3738    0.740     0.371 
3739    0.741     0.372 
3740    0.742     0.373 
3741    0.742     0.374 
3742    0.741     0.374 
3743    0.741     0.375 
3744    0.740     0.375 
3745    0.739     0.375 
3746    0.737     0.375 
3747    0.735     0.375 
3748    0.732     0.374 
3749    0.730     0.374 
3750    0.727     0.373 
3751    0.725     0.372 
3752    0.722     0.372 
3753    0.721     0.372 
3754    0.719     0.372 
3755    0.717     0.371 
3756    0.716     0.372 
3757    0.716     0.372 
3758    0.715     0.372 
3759    0.714     0.373 
3760    0.714     0.373 
3761    0.714     0.374 
3762    0.715     0.375 
3763    0.715     0.376 
3764    0.716     0.377 
3765    0.717     0.378 
3766    0.718     0.379 
3767    0.720     0.381 
3768    0.722     0.383 
3769    0.724     0.385 
3770    0.726     0.386 
3771    0.728     0.388 
3772    0.730     0.390 
3773    0.732     0.392 
3774    0.733     0.393 
3775    0.735     0.395 
3776    0.736     0.396 
3777    0.738     0.398 
3778    0.740     0.399 
3779    0.741     0.401 
3780    0.742     0.402 
3781    0.742     0.403 
3782    0.743     0.404 
3783    0.743     0.405 
3784    0.743     0.405 
3785    0.743     0.406 
3786    0.742     0.406 
3787    0.741     0.407 
3788    0.740     0.407 
3789    0.739     0.407 
3790    0.737     0.407 
3791    0.735     0.407 
3792    0.734     0.407 
3793    0.732     0.406 
3794    0.731     0.406 
3795    0.729     0.406 
3796    0.728     0.406 
3797    0.727     0.406 
3798    0.725     0.406 
3799    0.724     0.406 
3800    0.722     0.406 
3801    0.721     0.405 
3802    0.720     0.405 
3803    0.720     0.406 
3804    0.719     0.406 
3805    0.719     0.406 
3806    0.719     0.407 
3807    0.718     0.407 
3808    0.718     0.407 
3809    0.719     0.408 
3810    0.720     0.409 
3811    0.722     0.411 
3812    0.722     0.412 
3813    0.724     0.413 
3814    0.725     0.414 
3815    0.727     0.415 
3816    0.728     0.417 
3817    0.730     0.418 
3818    0.732     0.420 
3819    0.734     0.422 
3820    0.736     0.423 
3821    0.739     0.425 
3822    0.741     0.427 
3823    0.743     0.429 
3824    0.745     0.431 
3825    0.748     0.433 
3826    0.750     0.434 
3827    0.752     0.436 
3828    0.754     0.438 
3829    0.756     0.439 
3830    0.758     0.441 
3831    0.760     0.443 
3832    0.761     0.444 
3833    0.763     0.445 
3834    0.764     0.446 
3835    0.764     0.447 
3836    0.764     0.447 
3837    0.763     0.448 
3838    0.761     0.447 
3839    0.758     0.446 
3840    0.753     0.443 
3841    0.747     0.440 
3842    0.738     0.436 
3843    0.728     0.430 
3844    0.714     0.422 
3845    0.699     0.414 
3846    0.680     0.403 
3847    0.658     0.391 
3848    0.634     0.376 
3849    0.606     0.360 
3850    0.576     0.343 
3851    0.544     0.324 
3852    0.510     0.304 
3853    0.474     0.283 
3854    0.438     0.262 
3855    0.401     0.240 
3856    0.365     0.219 
3857    0.330     0.198 
3858    0.296     0.178 
3859    0.264     0.159 
3860    0.235     0.141 
3861    0.208     0.125 
3862    0.183     0.110 
3863    0.160     0.097 
3864    0.140     0.085 
3865    0.122     0.074 
3866    0.106     0.065 
3867    0.092     0.056 
3868    0.080     0.049 
3869    0.069     0.042 
3870    0.060     0.037 
3871    0.052     0.032 
3872    0.046     0.028 
3873    0.040     0.024 
3874    0.035     0.021 
3875    0.030     0.019 
3876    0.027     0.016 
3877    0.024     0.015 
3878    0.021     0.013 
3879    0.018     0.011 
3880    0.016     0.010 
3881    0.015     0.009 
3882    0.013     0.008 
3883    0.012     0.007 
3884    0.010     0.006 
3885    0.009     0.006 
3886    0.008     0.005 
3887    0.008     0.005 
3888    0.007     0.004 
3889    0.006     0.004 
3890    0.006     0.004 
3891    0.005     0.003 
3892    0.005     0.003 
3893    0.004     0.003 
3894    0.004     0.002 
3895    0.003     0.002 
3896    0.003     0.002 
3897    0.003     0.002 
3898    0.003     0.002 
3899    0.002     0.002 
3900    0.002     0.001 
3901    0.002     0.001 
3902    0.002     0.001 
3903    0.002     0.001 
3904    0.002     0.001 
3905    0.001     0.001 
3906    0.001     0.001 
3907    0.001     0.001 
3908    0.001     0.001 
3909    0.001     0.001 
3910    0.001     0.001 
3911    0.001     0.001 
3912    0.001     0.001 
3913    0.001     0.001 
3914    0.001     0.000 
3915    0.001     0.000 
3916    0.001     0.000 
3917    0.001     0.000 
3918    0.001     0.000 
3919    0.001     0.000 
3920    0.000     0.000 
3921    0.000     0.000 
3922    0.000     0.000 
3923    0.000     0.000 
3924    0.000     0.000 
3925    0.000     0.000 
3926    0.000     0.000 
3927    0.000     0.000 
3928    0.000     0.000 
3929    0.000     0.000 
3930    0.000     0.000 
3931    0.000     0.000 
3932    0.000     0.000 
3933    0.000     0.000 
3934    0.000     0.000 
3935    0.000     0.000 
3936    0.000     0.000 
3937    0.000     0.000 
3938    0.000     0.000 
3939    0.000     0.000 
3940    0.000     0.000 
3941    0.000     0.000 
3942    0.000     0.000 
3943    0.000     0.000 
3944    0.000     0.000 
3945    0.000     0.000 
3946    0.000     0.000 
3947    0.000     0.000 
3948    0.000     0.000 
3949    0.000     0.000 
3950    0.000     0.000 
3951    0.000     0.000 
3952    0.000     0.000 
3953    0.000     0.000 
3954    0.000     0.000 
3955    0.000     0.000 
3956    0.000     0.000 
3957    0.000     0.000 
3958    0.000     0.000 
3959    0.000     0.000 
3960    0.000     0.000 
3961    0.000     0.000 
3962    0.000     0.000 
3963    0.000     0.000 
3964    0.000     0.000 
3965    0.000     0.000 
3966    0.000     0.000 
3967    0.000     0.000 
3968    0.000     0.000 
3969    0.000     0.000 
3970    0.000     0.000 
3971    0.000     0.000 
3972    0.000     0.000 
3973    0.000     0.000 
3974    0.000     0.000 
3975    0.000     0.000 
3976    0.000     0.000 
3977    0.000     0.000 
3978    0.000     0.000 
3979    0.000     0.000 
3980    0.000     0.000 
3981    0.000     0.000 
3982    0.000     0.000 
3983    0.000     0.000 
3984    0.000     0.000 
3985    0.000     0.000 
3986    0.000     0.000 
3987    0.000     0.000 
3988    0.000     0.000 
3989    0.000     0.000 
3990    0.000     0.000 
3991    0.000     0.000 
3992    0.000     0.000 
3993    0.000     0.000 
3994    0.000     0.000 
3995    0.000     0.000 
3996    0.000     0.000 
3997    0.000     0.000 
3998    0.000     0.000 
3999    0.000     0.000 
4000    0.000     0.000 
