# Filter transmission for J-PLUS filter J0861
# Authors: Jesus Varela (jvarela@cefca.es), Toni Marin (amarin@cefca.es), César Iñiguez (ciniguez@cefca.es)
# Date: 2015-05-19
# wl[A]   T[ccd]    T[ccd+filter+atm]
8200    0.000     0.000 
8201    0.000     0.000 
8202    0.000     0.000 
8203    0.000     0.000 
8204    0.000     0.000 
8205    0.000     0.000 
8206    0.000     0.000 
8207    0.000     0.000 
8208    0.000     0.000 
8209    0.000     0.000 
8210    0.000     0.000 
8211    0.000     0.000 
8212    0.000     0.000 
8213    0.000     0.000 
8214    0.000     0.000 
8215    0.000     0.000 
8216    0.000     0.000 
8217    0.000     0.000 
8218    0.000     0.000 
8219    0.000     0.000 
8220    0.000     0.000 
8221    0.000     0.000 
8222    0.000     0.000 
8223    0.000     0.000 
8224    0.000     0.000 
8225    0.000     0.000 
8226    0.000     0.000 
8227    0.000     0.000 
8228    0.000     0.000 
8229    0.000     0.000 
8230    0.000     0.000 
8231    0.000     0.000 
8232    0.000     0.000 
8233    0.000     0.000 
8234    0.000     0.000 
8235    0.000     0.000 
8236    0.000     0.000 
8237    0.000     0.000 
8238    0.000     0.000 
8239    0.000     0.000 
8240    0.000     0.000 
8241    0.000     0.000 
8242    0.000     0.000 
8243    0.000     0.000 
8244    0.000     0.000 
8245    0.000     0.000 
8246    0.000     0.000 
8247    0.000     0.000 
8248    0.000     0.000 
8249    0.000     0.000 
8250    0.000     0.000 
8251    0.000     0.000 
8252    0.000     0.000 
8253    0.000     0.000 
8254    0.000     0.000 
8255    0.000     0.000 
8256    0.000     0.000 
8257    0.000     0.000 
8258    0.000     0.000 
8259    0.000     0.000 
8260    0.000     0.000 
8261    0.000     0.000 
8262    0.000     0.000 
8263    0.000     0.000 
8264    0.000     0.000 
8265    0.000     0.000 
8266    0.000     0.000 
8267    0.000     0.000 
8268    0.000     0.000 
8269    0.000     0.000 
8270    0.000     0.000 
8271    0.000     0.000 
8272    0.000     0.000 
8273    0.000     0.000 
8274    0.000     0.000 
8275    0.000     0.000 
8276    0.000     0.000 
8277    0.000     0.000 
8278    0.000     0.000 
8279    0.000     0.000 
8280    0.000     0.000 
8281    0.000     0.000 
8282    0.000     0.000 
8283    0.000     0.000 
8284    0.000     0.000 
8285    0.000     0.000 
8286    0.000     0.000 
8287    0.000     0.000 
8288    0.000     0.000 
8289    0.001     0.000 
8290    0.001     0.000 
8291    0.001     0.000 
8292    0.001     0.000 
8293    0.001     0.000 
8294    0.001     0.001 
8295    0.001     0.001 
8296    0.001     0.001 
8297    0.001     0.001 
8298    0.001     0.001 
8299    0.001     0.001 
8300    0.001     0.001 
8301    0.001     0.001 
8302    0.001     0.001 
8303    0.001     0.001 
8304    0.001     0.001 
8305    0.001     0.001 
8306    0.001     0.001 
8307    0.001     0.001 
8308    0.001     0.001 
8309    0.001     0.001 
8310    0.001     0.001 
8311    0.001     0.001 
